,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 20:48:00,0.0,-8518.881095742458,138873.76882669114,3170970.2110703355,20063.870376430634,0.9993111178885581,0.999056003121931,-0.11960000000025475
2015-10-20 20:49:00,0.0,-8513.469598200558,136176.32032748213,3166959.6642981023,20061.259248694885,0.9991960643944787,0.9989218257574257,-0.12300000000025475
2015-10-20 20:50:00,0.0,-8679.62596143063,131495.2344473505,3175178.3643796495,19997.871508193486,0.9990643069328929,0.9987719201873627,-0.12300000000025475
2015-10-20 20:51:00,0.0,-8479.924957927768,134535.70138767074,3196772.3818746004,20010.297539522107,0.9988094385414912,0.9984845347429798,-0.12300000000025475
2015-10-20 20:52:00,0.0,-8518.389654878683,141455.89144114143,3238163.830835113,19996.723014610296,0.9979358469504302,0.9975210781783638,-0.12300000000025475
2015-10-20 20:53:00,0.0,-8542.130863893159,153098.8846958103,3161783.2384497803,19976.97375526256,0.9989435795124837,0.9986332012101856,-0.12300000000025475
2015-10-20 20:54:00,0.0,-8561.07470823672,155633.4622770916,3164225.0781774106,19978.24243246559,0.9990886862238185,0.9987990995580727,-0.12300000000025475
2015-10-20 20:55:00,0.0,-8534.64006589195,162548.01913954885,3229436.5469636833,20035.29756828864,0.9984904186085614,0.9981307218967539,-0.12300000000025475
2015-10-20 20:56:00,0.0,-8541.28880995178,162817.68306609473,3188749.388500765,19982.246533066373,0.9987172545861358,0.9983804245808007,-0.12300000000025475
2015-10-20 20:57:00,0.0,-8518.6584524849,163778.20134215802,3185941.7365411744,19993.181776817124,0.9986369081661568,0.9982898433412228,-0.12300000000025475
2015-10-20 20:58:00,0.0,-8698.107592772223,160163.43122035766,3185228.6703624227,19933.37089274341,0.998478938923759,0.9981146109032599,-0.12300000000025475
2015-10-20 20:59:00,0.0,-8511.996995480544,163983.3310280622,3175813.267948957,20003.704155237716,0.9987780738041601,0.9984470067943643,-0.12300000000025475
2015-10-20 21:00:00,0.0,-8542.228096513702,162994.70168691035,3137660.238411093,19975.193662550573,0.9989730245986055,0.9986642127108382,-0.11960000000025475
2015-10-20 21:01:00,0.0,-8554.566026947181,161788.19285624175,3131191.323215418,19930.997509429315,0.9989319784357945,0.9986175372410664,-0.11620000000025474
2015-10-20 21:02:00,0.0,-8556.335091943209,161359.33396404676,3166181.8558034766,19946.49825631146,0.9986007073007872,0.9982479013081329,-0.11280000000025474
2015-10-20 21:03:00,0.0,-8682.98034871883,160573.7743044346,3208766.8899872974,19940.44972690611,0.9981616128875099,0.9977662624394747,-0.10940000000025474
